대상시설명,위도,경도
장전초등학교,35.24137393,129.0827578
공덕초등학교,35.29585964,129.1113124
장서초등학교,35.2480494,129.085406
서명초등학교,35.21516544,129.0946322
서동초등학교,35.21911316,129.0968816
서곡초등학교,35.220475,129.104852
부곡초등학교,35.2341134,129.0932522
두실초등학교,35.25315811,129.0894003
동현초등학교,35.2220213,129.0927614
구서초등학교,35.254258,129.0871377
삼육초등학교,35.27276458,129.0947476
은애학교,35.278658,129.0848121
부산대부설어린이집,35.23651909,129.083368
꽃잎어린이집,35.25717246,129.0940639
한신유치원,35.23674462,129.0899237
하늘빛유치원,35.22813497,129.0818789
하나유치원,35.21929988,129.095002
파랑새유치원,35.260734,129.085368
트니트니유치원,35.23346946,129.0908853
금정유치원,35.22802827,129.0848988
구서초등학교 병설유치원,35.254258,129.0871377
금샘누리유치원,35.26905918,129.0838928
YMCA어린이집,35.22639867,129.146931
강동유치원,35.17232058,129.1367468
강동초교,35.17232058,129.1367468
고은유치원,35.16844975,129.1793923
광덕자연어린이집,35.16340686,129.187399
대동유치원,35.17436016,129.1734349
대림유치원,35.17931267,129.1740453
대우사랑유치원,35.17245382,129.1832262
더푸른유치원,35.164107,129.181538
동백어린이집,35.16672302,129.1434569
동백초교,35.16401932,129.1812186
동부산대부속유치원,35.23274266,129.1490281
동성제일유치원,35.17492815,129.1397257
동해어린이집,35.194419,129.2068977
마리나유치원,35.15963575,129.1475636
무정초교,35.19815569,129.1237797
반산초교,35.19344259,129.1296332
반산초교 병설유치원,35.19344259,129.1296332
반석초교,35.211403,129.1249812
반송1동어린이집,35.2225022,129.1528783
반송초교,35.22358136,129.1475257
반안초교,35.20296503,129.113229
반여3동어린이집,35.20087223,129.1322601
반여초교,35.202761,129.129468
반여초교 병설유치원,35.202761,129.129468
백조어린이집,35.168481,129.155576
버드내유치원,35.16799293,129.158474
부산외국인학교,35.17370749,129.1649832
부흥초교,35.17578498,129.1781921
쁘띠포레유치원,35.17870863,129.1699419
삼어초교,35.2086973,129.1158546
상당초교,35.179695,129.1760294
서광자연유치원,35.15926763,129.1798671
세나어린이집,35.22983963,129.1553873
세종어린이집,35.161753,129.182313
센텀유치원,35.17950161,129.1232765
센텀초교,35.18114187,129.1219407
센텀향도,35.19518162,129.1303175
송수초교,35.189832,129.119287
송수초교 병설유치원,35.189826,129.119229
송운초교,35.22861126,129.1573917
송정초교,35.18957289,129.2047827
신곡초교,35.169981,129.1818694
신도초교,35.16948362,129.1673789
신재초교,35.19176921,129.122731
양운초교,35.174719,129.1667065
양운초교 병설유치원,35.174719,129.1667065
여명유치원,35.191034,129.130659
왕자와공주유치원,35.16956973,129.1850498
우2동어린이집,35.171533,129.139974
우주유치원,35.20064959,129.1172223
운봉초교,35.22928177,129.1591812
운봉초교 병설유치원,35.22928177,129.1591812
운송초교,35.22863884,129.1460864
은혜유치원,35.19579536,129.1163322
인지초교,35.20287941,129.1251192
인천유치원,35.17967041,129.1275308
인천꿈나무,35.17967041,129.1275308
장산초교,35.200053,129.1196525
재능어린이집,35.185743,129.1234959
재송,35.183725,129.1275505
재송,35.183725,129.1275505
재송초교,35.18643932,129.1277644
좌동초교,35.17601642,129.175188
좌동초교 병설유치원,35.17601642,129.175188
좌산초교,35.16885589,129.1838587
중일유치원,35.162812,129.1725444
창신어린이집,35.231518,129.151576
파랑새어린이집,35.22898712,129.1585232
파랑새유치원,35.22898806,129.1585212
푸른유치원,35.16739639,129.1794388
풀꽃유치원,35.20386972,129.1216813
풀빛어린이집,35.20107662,129.1200088
하늘숲유치원,35.187666,129.2051117
해강유치원,35.16176438,129.143163
해강초교,35.16215428,129.1417217
해동초교,35.170376,129.1554473
해뜨는유치원,35.16652076,129.1864212
해림초교,35.165072,129.1438995
해성유치원,35.16391269,129.1645423
해송초교,35.16424492,129.179501
해운대자연유치원,35.18066759,129.1738662
해운대초교,35.16490791,129.1656509
해운대푸른어린이집,35.16539442,129.179719
해원초교,35.15882007,129.1439605
효원어린이집,35.17818274,129.1787522
배화학교,35.16911304,129.1029495
광남초등,35.14507176,129.1134247
광안초등,35.15652651,129.1171796
남천초등,35.14351616,129.1071266
망미초등,35.17491546,129.1143903
민락초등,35.1609477,129.126942
민안초등,35.16306671,129.1212163
배산초등,35.1771617,129.1019364
수미초등,35.168751,129.1037225
수영초등,35.1661244,129.112038
호암초등,35.15816402,129.106338
금련사유치원,35.16220888,129.1055151
옥련유치원,35.16136852,129.126575
나은유치원,35.16891594,129.105372
남부산유치원,35.14627775,129.1139995
명성유치원,35.174976,129.111513
백산자연유치원,35.16416005,129.120504
분도유치원,35.151155,129.110711
성모유치원,35.158778,129.127833
수영로유치원,35.16638033,129.114368
에버그린,35.17568303,129.0967838
남천유치원,35.14351616,129.1071266
천사유치원,35.144304,129.1082535
평화유치원,35.171675,129.1043065
호암유치원,35.154799,129.110787
경은유치원,35.16592721,129.1192309
영주암어린이집,35.17638465,129.099125
광안,35.160923,129.107123
도산,35.161442,129.120507
동성큰사랑어린이집,35.14779554,129.109744
수아&영이어린이집,35.15601405,129.116138
수영동산어린이집,35.16923128,129.1160253
중앙어린이집,35.14929409,129.106525
바다빛어린이집,35.15551931,129.1265241
수영초교병설유치원,35.1661244,129.112038
광안초교병설유치원,35.15652651,129.1171796
민락초교병설유치원,35.1609477,129.126942
광남초교병설유치원,35.14507176,129.1134247
남성초등학교,35.10571479,129.0344121
보수초등학교,35.10607045,129.0242806
광일초등학교,35.10400525,129.0298609
봉래초등학교,35.11139656,129.0355679
노틀담어린이집,35.10578438,129.0282389
대청어린이집,35.11033945,129.0293914
영주어린이집,35.11186507,129.0295565
다사랑어린이집,35.10618152,129.024695
숲속리더유치원,35.10376001,129.0272895
광일초등학교병설유치원,35.10400525,129.0298609
봉래초등학교병설유치원,35.11139656,129.0355679
혜송학교,35.08187619,129.0225205
부민초등학교,35.10597015,129.0199224
놀이아유치원,35.10746281,129.018361
내원정사유치원,35.1200013,129.0187421
노틀담유치원,35.10275932,129.0168341
영락유치원,35.10312312,129.020921
아미초등학교,35.09811433,129.0163118
남부민초등학교,35.08941809,129.0233338
대신초등학교,35.11618072,129.0117821
화랑초등학교,35.10824222,129.0205048
동신초등학교,35.11386005,129.017591
천마초등학교,35.081681,129.0182396
으뜸어린이집(아동종합보호센터),35.10019443,129.0158674
남부민초등학교 병설유치원,35.08941809,129.0233338
동신초등학교 병설유치원,35.11386005,129.0175903
마리아유치원,35.11318735,129.0142573
푸른유치원,35.08439865,129.0232186
토성초등학교,35.09924271,129.0212827
송도초등학교,35.07835411,129.0160446
구덕초등학교,35.120431,129.0125312
가람어린이집,35.108271,129.009521
천마어린이집,35.082031,129.0178683
알로이시오초등학교,35.08331635,129.0163674
토성초등학교,35.09924271,129.0212827
개원어린이집,35.16450196,129.0277604
부산광역시청어린이집,35.1792288,129.0727223
부산진구 사회복지관어린이집,35.1426032,129.0201649
양정삼성어린이집,35.17479967,129.0737388
한빛어린이집,35.1676615,129.0292801
초원사랑어린이집,35.1569219,129.0422729
당감복지관 나리어린이집,35.162359,129.0366013
연지꿈동산어린이집,35.17576988,129.0538634
개금유치원,35.14933558,129.0196731
예종유치원(구.초읍유치원),35.18046668,129.0515273
춘해유치원,35.1461264,129.0433841
큰별유치원,35.1565111,129.0222699
한사랑유치원,35.1714866,129.0717271
